Date,equity
2008-07-30,1120144.0129419619
2008-07-31,1102990.6241719632
2008-08-01,1094947.9221007884
2008-08-02,1094947.9221007884
2008-08-03,1094947.9221007884
2008-08-04,1097879.1834397763
2008-08-05,1131325.2118772073
2008-08-06,1141964.2160971009
2008-08-07,1121049.3157559275
2008-08-08,1158889.8117254023
2008-08-09,1158889.8117254023
2008-08-10,1158889.8117254023
2008-08-11,1174170.3147055493
2008-08-12,1166051.356731038
2008-08-13,1156851.3254179773
2008-08-14,1167064.203828025
2008-08-15,1175278.034890295
2008-08-16,1175278.034890295
2008-08-17,1175278.034890295
2008-08-18,1159279.2159254013
2008-08-19,1140516.7009901975
2008-08-20,1133614.3550350908
2008-08-21,1136064.3312333412
2008-08-22,1157616.4812386343
2008-08-23,1157616.4812386343
2008-08-24,1157616.4812386343
2008-08-25,1135821.4588049252
2008-08-26,1137150.3105223163
2008-08-27,1143016.365030514
2008-08-28,1162700.8638494906
2008-08-29,1145398.3842959986
2008-08-30,1145398.3842959986
2008-08-31,1145016.5848345666
2008-09-01,1145016.5848345666
2008-09-02,1156441.8088953
2008-09-03,1155149.4942821332
2008-09-04,1116114.2190856892
2008-09-05,1117057.0096771915
2008-09-06,1117057.0096771915
2008-09-07,1117057.0096771915
2008-09-08,1151260.9337435472
2008-09-09,1123398.4822297194
2008-09-10,1119971.6966585233
2008-09-11,1141434.5533035414
2008-09-12,1139932.7757248697
2008-09-13,1139932.7757248697
2008-09-14,1139932.7757248697
2008-09-15,1097859.275782374
2008-09-16,1103177.0886375383
2008-09-17,1062724.339546763
2008-09-18,1087280.7662926847
2008-09-19,1109964.674258865
2008-09-20,1109964.674258865
2008-09-21,1109964.674258865
2008-09-22,1072427.1257635711
2008-09-23,1053023.3662904082
2008-09-24,1050009.9227574223
2008-09-25,1063594.580785245
2008-09-26,1066739.2160402029
2008-09-27,1066739.2160402029
2008-09-28,1066739.2160402029
2008-09-29,1013103.5201466219
2008-09-30,1028270.6400737071
2008-10-01,1035418.1272796864
2008-10-02,1029756.0954867031
2008-10-03,1014584.4479473962
2008-10-04,1014584.4479473962
2008-10-05,1014584.4479473962
2008-10-06,980875.2258739936
2008-10-07,953436.9345651792
2008-10-08,931843.0732742016
2008-10-09,868000.7770507926
2008-10-10,852631.1583179656
2008-10-11,852631.1583179656
2008-10-12,852631.1583179656
2008-10-13,923892.9728878376
2008-10-14,934221.0866334584
2008-10-15,872482.8657569455
2008-10-16,899456.8905049814
2008-10-17,901094.9383080482
2008-10-18,901094.9383080482
2008-10-19,901094.9383080482
2008-10-20,922927.1833140142
2008-10-21,917237.1547813948
2008-10-22,898708.1354524024
2008-10-23,890205.870998211
2008-10-24,866397.3200458147
2008-10-25,866397.3200458147
